timestamp,location,pm2.5,pm10,no2,so2,co,o3
2024-01-01 00:00:00,Bengaluru-Central,45,78,32,12,1.2,45
2024-01-01 01:00:00,Bengaluru-Central,42,75,30,11,1.1,42
2024-01-01 02:00:00,Bengaluru-Central,38,70,28,10,1.0,40
2024-01-01 03:00:00,Bengaluru-Central,35,65,25,9,0.9,38
2024-01-01 04:00:00,Bengaluru-Central,32,60,22,8,0.8,35
2024-01-01 05:00:00,Bengaluru-Central,30,58,20,7,0.8,33
2024-01-01 06:00:00,Bengaluru-Central,35,62,25,9,1.0,36
2024-01-01 07:00:00,Bengaluru-Central,55,85,40,15,1.5,50
2024-01-01 08:00:00,Bengaluru-Central,78,120,55,20,2.1,65
2024-01-01 09:00:00,Bengaluru-Central,92,145,68,25,2.8,78
2024-01-01 10:00:00,Bengaluru-Central,85,135,62,22,2.5,72
2024-01-01 11:00:00,Bengaluru-Central,72,115,52,18,2.0,65
2024-01-01 12:00:00,Bengaluru-Central,65,105,48,16,1.8,60
2024-01-01 13:00:00,Bengaluru-Central,58,95,42,14,1.6,55
2024-01-01 14:00:00,Bengaluru-Central,52,88,38,12,1.4,50
2024-01-01 15:00:00,Bengaluru-Central,48,82,35,11,1.3,48
2024-01-01 16:00:00,Bengaluru-Central,50,85,36,12,1.3,49
2024-01-01 17:00:00,Bengaluru-Central,62,100,45,15,1.7,55
2024-01-01 18:00:00,Bengaluru-Central,88,140,65,24,2.6,75
2024-01-01 19:00:00,Bengaluru-Central,95,150,70,28,3.0,82
2024-01-01 20:00:00,Bengaluru-Central,82,130,60,22,2.4,70
2024-01-01 21:00:00,Bengaluru-Central,68,110,50,17,1.9,62
2024-01-01 22:00:00,Bengaluru-Central,55,90,40,13,1.5,52
2024-01-01 23:00:00,Bengaluru-Central,48,80,34,11,1.2,46
2024-01-02 00:00:00,Bengaluru-Central,42,72,30,10,1.1,42
2024-01-01 00:00:00,Bengaluru-North,38,65,28,10,1.0,40
2024-01-01 01:00:00,Bengaluru-North,35,62,26,9,0.9,38
2024-01-01 02:00:00,Bengaluru-North,32,58,24,8,0.8,35
2024-01-01 03:00:00,Bengaluru-North,30,55,22,7,0.8,33
2024-01-01 04:00:00,Bengaluru-North,28,52,20,6,0.7,31
2024-01-01 05:00:00,Bengaluru-North,26,50,18,6,0.7,30
2024-01-01 06:00:00,Bengaluru-North,30,54,22,8,0.9,33
2024-01-01 07:00:00,Bengaluru-North,48,78,38,14,1.4,48
2024-01-01 08:00:00,Bengaluru-North,68,110,52,18,2.0,62
2024-01-01 09:00:00,Bengaluru-North,82,130,65,22,2.6,75
2024-01-01 10:00:00,Bengaluru-North,75,120,58,20,2.3,68
2024-01-01 11:00:00,Bengaluru-North,65,105,50,17,1.9,60
2024-01-01 12:00:00,Bengaluru-North,58,95,45,15,1.7,55
2024-01-01 13:00:00,Bengaluru-North,52,88,40,13,1.5,50
2024-01-01 14:00:00,Bengaluru-North,48,82,36,12,1.3,48
2024-01-01 15:00:00,Bengaluru-North,45,78,34,11,1.2,45
2024-01-01 16:00:00,Bengaluru-North,47,80,35,11,1.3,46
2024-01-01 17:00:00,Bengaluru-North,58,95,42,14,1.6,52
2024-01-01 18:00:00,Bengaluru-North,78,125,58,20,2.2,68
2024-01-01 19:00:00,Bengaluru-North,85,135,65,24,2.7,75
2024-01-01 20:00:00,Bengaluru-North,72,115,55,19,2.1,65
2024-01-01 21:00:00,Bengaluru-North,60,98,45,15,1.7,56
2024-01-01 22:00:00,Bengaluru-North,50,85,38,12,1.4,48
2024-01-01 23:00:00,Bengaluru-North,44,75,32,10,1.1,42
2024-01-02 00:00:00,Bengaluru-North,38,68,28,9,1.0,39
